name,ingredients,type,meal,instructions
Potato Cauliflower Turmeric Curry,"potato, cauliflower, turmeric, cumin, coriander, green chili, ginger, garlic",vegetarian,lunch,"To prepare Aloo Gobi, start by gathering the ingredients: potato, cauliflower, turmeric, cumin, coriander, green chili, ginger, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Palak Paneer Delight,"spinach, paneer, garlic, ginger, green chili, garam masala, cumin",vegetarian,dinner,"To prepare Palak Paneer, start by gathering the ingredients: spinach, paneer, garlic, ginger, green chili, garam masala, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, moong dal, carrot, beans, turmeric, ginger, cumin",vegetarian,lunch,"To prepare Quinoa Khichdi, start by gathering the ingredients: quinoa, moong dal, carrot, beans, turmeric, ginger, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Sprouted moong Cucumber Tomato Curry,"sprouted moong, cucumber, tomato, lemon juice, salt, pepper",vegetarian,breakfast,"To prepare Sprouted Moong Salad, start by gathering the ingredients: sprouted moong, cucumber, tomato, lemon juice, salt, pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rolled oats Carrot Beans Curry,"rolled oats, carrot, beans, green chili, turmeric, cumin, mustard seeds",vegetarian,breakfast,"To prepare Masala Oats, start by gathering the ingredients: rolled oats, carrot, beans, green chili, turmeric, cumin, mustard seeds. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Chicken Yogurt Red chili powder Curry,"chicken, yogurt, red chili powder, turmeric, garam masala, ginger, garlic",non-vegetarian,dinner,"To prepare Chicken Tikka, start by gathering the ingredients: chicken, yogurt, red chili powder, turmeric, garam masala, ginger, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Fish fillet Yogurt Turmeric Curry,"fish fillet, yogurt, turmeric, garam masala, lemon, ginger garlic paste",non-vegetarian,lunch,"To prepare Grilled Tandoori Fish, start by gathering the ingredients: fish fillet, yogurt, turmeric, garam masala, lemon, ginger garlic paste. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Urad dal Carrot Curry,"rice, urad dal, carrot, drumstick, tamarind, mustard seeds, curry leaves",vegetarian,breakfast,"To prepare Idli with Sambar, start by gathering the ingredients: rice, urad dal, carrot, drumstick, tamarind, mustard seeds, curry leaves. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Gram flour Onion Tomato Curry,"gram flour, onion, tomato, chili, coriander, turmeric, ajwain",vegetarian,breakfast,"To prepare Besan Chilla, start by gathering the ingredients: gram flour, onion, tomato, chili, coriander, turmeric, ajwain. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Ragi flour Rice flour Onion Curry,"ragi flour, rice flour, onion, green chili, cumin, curry leaves",vegetarian,breakfast,"To prepare Ragi Dosa, start by gathering the ingredients: ragi flour, rice flour, onion, green chili, cumin, curry leaves. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
